ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.payment.Payment	payment	1760300941581	 	3.3.1
USER	make payments simultaneously	184	START	1760300942649	1760300942649
USER	make payments simultaneously	189	START	1760300942650	1760300942650
USER	make payments simultaneously	191	START	1760300942650	1760300942650
USER	make payments simultaneously	188	START	1760300942650	1760300942650
USER	make payments simultaneously	192	START	1760300942650	1760300942650
USER	make payments simultaneously	193	START	1760300942650	1760300942650
USER	make payments simultaneously	194	START	1760300942650	1760300942650
USER	make payments simultaneously	196	START	1760300942650	1760300942650
USER	make payments simultaneously	198	START	1760300942650	1760300942650
USER	make payments simultaneously	195	START	1760300942650	1760300942650
USER	make payments simultaneously	33	START	1760300942614	1760300942614
USER	make payments simultaneously	199	START	1760300942650	1760300942650
USER	make payments simultaneously	197	START	1760300942650	1760300942650
USER	make payments simultaneously	200	START	1760300942650	1760300942650
USER	make payments simultaneously	99	START	1760300942646	1760300942646
USER	make payments simultaneously	40	START	1760300942615	1760300942615
USER	make payments simultaneously	176	START	1760300942649	1760300942649
USER	make payments simultaneously	177	START	1760300942649	1760300942649
USER	make payments simultaneously	13	START	1760300942610	1760300942610
USER	make payments simultaneously	173	START	1760300942649	1760300942649
USER	make payments simultaneously	95	START	1760300942646	1760300942646
USER	make payments simultaneously	172	START	1760300942649	1760300942649
USER	make payments simultaneously	97	START	1760300942646	1760300942646
USER	make payments simultaneously	30	START	1760300942613	1760300942613
USER	make payments simultaneously	2	START	1760300942606	1760300942606
USER	make payments simultaneously	100	START	1760300942646	1760300942646
USER	make payments simultaneously	175	START	1760300942649	1760300942649
USER	make payments simultaneously	12	START	1760300942608	1760300942608
USER	make payments simultaneously	91	START	1760300942646	1760300942646
USER	make payments simultaneously	1	START	1760300942606	1760300942606
USER	make payments simultaneously	3	START	1760300942606	1760300942606
USER	make payments simultaneously	80	START	1760300942645	1760300942645
USER	make payments simultaneously	101	START	1760300942646	1760300942646
USER	make payments simultaneously	26	START	1760300942613	1760300942613
USER	make payments simultaneously	16	START	1760300942611	1760300942611
USER	make payments simultaneously	42	START	1760300942616	1760300942616
USER	make payments simultaneously	32	START	1760300942614	1760300942614
USER	make payments simultaneously	9	START	1760300942607	1760300942607
USER	make payments simultaneously	46	START	1760300942616	1760300942616
USER	make payments simultaneously	17	START	1760300942611	1760300942611
USER	make payments simultaneously	37	START	1760300942614	1760300942614
USER	make payments simultaneously	7	START	1760300942607	1760300942607
USER	make payments simultaneously	14	START	1760300942611	1760300942611
USER	make payments simultaneously	38	START	1760300942614	1760300942614
USER	make payments simultaneously	47	START	1760300942617	1760300942617
USER	make payments simultaneously	8	START	1760300942607	1760300942607
USER	make payments simultaneously	23	START	1760300942613	1760300942613
USER	make payments simultaneously	43	START	1760300942616	1760300942616
USER	make payments simultaneously	44	START	1760300942616	1760300942616
USER	make payments simultaneously	10	START	1760300942607	1760300942607
REQUEST	70		payment	1760300942645	1760300943397	OK	 
REQUEST	5		payment	1760300942642	1760300943397	OK	 
REQUEST	98		payment	1760300942646	1760300943405	OK	 
REQUEST	43		payment	1760300942643	1760300943408	OK	 
USER	make payments simultaneously	70	END	1760300942645	1760300943418
USER	make payments simultaneously	5	END	1760300942606	1760300943418
USER	make payments simultaneously	43	END	1760300942616	1760300943418
USER	make payments simultaneously	98	END	1760300942646	1760300943418
REQUEST	67		payment	1760300942645	1760300943425	OK	 
USER	make payments simultaneously	67	END	1760300942645	1760300943426
REQUEST	33		payment	1760300942642	1760300943426	OK	 
REQUEST	64		payment	1760300942645	1760300943426	OK	 
REQUEST	75		payment	1760300942645	1760300943427	OK	 
USER	make payments simultaneously	33	END	1760300942614	1760300943426
USER	make payments simultaneously	64	END	1760300942645	1760300943426
USER	make payments simultaneously	75	END	1760300942645	1760300943427
REQUEST	58		payment	1760300942645	1760300943431	OK	 
USER	make payments simultaneously	58	END	1760300942645	1760300943432
REQUEST	165		payment	1760300942649	1760300943437	OK	 
USER	make payments simultaneously	165	END	1760300942649	1760300943437
REQUEST	107		payment	1760300942647	1760300943438	OK	 
REQUEST	96		payment	1760300942649	1760300943438	OK	 
