ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	parabank.transaction.TransferLoadSimulation	transferloadsimulation	1760300862331	 	3.3.1
USER	Carga de Transferencias sin Login	132	START	1760300864314	1760300864314
USER	Carga de Transferencias sin Login	134	START	1760300864316	1760300864316
USER	Carga de Transferencias sin Login	133	START	1760300864316	1760300864316
REQUEST	13		Transfer	1760300863517	1760300864317	OK	 
USER	Carga de Transferencias sin Login	13	END	1760300863516	1760300864318
REQUEST	19		Transfer	1760300863565	1760300864320	OK	 
USER	Carga de Transferencias sin Login	19	END	1760300863563	1760300864320
REQUEST	21		Transfer	1760300863568	1760300864328	OK	 
USER	Carga de Transferencias sin Login	21	END	1760300863566	1760300864328
USER	Carga de Transferencias sin Login	135	START	1760300864330	1760300864330
REQUEST	17		Transfer	1760300863537	1760300864337	OK	 
USER	Carga de Transferencias sin Login	17	END	1760300863536	1760300864337
USER	Carga de Transferencias sin Login	136	START	1760300864346	1760300864346
USER	Carga de Transferencias sin Login	138	START	1760300864346	1760300864346
USER	Carga de Transferencias sin Login	137	START	1760300864346	1760300864346
REQUEST	12		Transfer	1760300863517	1760300864355	OK	 
USER	Carga de Transferencias sin Login	12	END	1760300863515	1760300864356
REQUEST	14		Transfer	1760300863517	1760300864359	OK	 
USER	Carga de Transferencias sin Login	14	END	1760300863516	1760300864360
USER	Carga de Transferencias sin Login	139	START	1760300864362	1760300864362
USER	Carga de Transferencias sin Login	140	START	1760300864362	1760300864362
USER	Carga de Transferencias sin Login	141	START	1760300864366	1760300864366
REQUEST	22		Transfer	1760300863580	1760300864372	OK	 
REQUEST	20		Transfer	1760300863566	1760300864372	OK	 
USER	Carga de Transferencias sin Login	22	END	1760300863579	1760300864373
USER	Carga de Transferencias sin Login	20	END	1760300863563	1760300864373
USER	Carga de Transferencias sin Login	143	START	1760300864377	1760300864377
USER	Carga de Transferencias sin Login	142	START	1760300864377	1760300864377
REQUEST	28		Transfer	1760300863630	1760300864380	OK	 
REQUEST	23		Transfer	1760300863579	1760300864380	OK	 
USER	Carga de Transferencias sin Login	28	END	1760300863627	1760300864380
USER	Carga de Transferencias sin Login	23	END	1760300863579	1760300864380
USER	Carga de Transferencias sin Login	144	START	1760300864393	1760300864393
USER	Carga de Transferencias sin Login	146	START	1760300864396	1760300864396
USER	Carga de Transferencias sin Login	145	START	1760300864396	1760300864396
REQUEST	25		Transfer	1760300863598	1760300864404	OK	 
USER	Carga de Transferencias sin Login	25	END	1760300863596	1760300864404
USER	Carga de Transferencias sin Login	147	START	1760300864409	1760300864409
REQUEST	32		Transfer	1760300863644	1760300864411	OK	 
USER	Carga de Transferencias sin Login	32	END	1760300863643	1760300864411
REQUEST	24		Transfer	1760300863596	1760300864414	OK	 
USER	Carga de Transferencias sin Login	24	END	1760300863595	1760300864415
REQUEST	29		Transfer	1760300863629	1760300864420	OK	 
USER	Carga de Transferencias sin Login	29	END	1760300863627	1760300864421
USER	Carga de Transferencias sin Login	148	START	1760300864425	1760300864425
USER	Carga de Transferencias sin Login	149	START	1760300864425	1760300864425
REQUEST	26		Transfer	1760300863599	1760300864425	OK	 
USER	Carga de Transferencias sin Login	26	END	1760300863596	1760300864426
USER	Carga de Transferencias sin Login	150	START	1760300864426	1760300864426
REQUEST	30		Transfer	1760300863631	1760300864430	OK	 
USER	Carga de Transferencias sin Login	30	END	1760300863627	1760300864430
REQUEST	27		Transfer	1760300863612	1760300864438	OK	 
REQUEST	40		Transfer	1760300863703	1760300864438	OK	 
USER	Carga de Transferencias sin Login	40	END	1760300863701	1760300864438
USER	Carga de Transferencias sin Login	27	END	1760300863611	1760300864438
USER	Carga de Transferencias sin Login	152	START	1760300864440	1760300864440
USER	Carga de Transferencias sin Login	151	START	1760300864440	1760300864440
REQUEST	34		Transfer	1760300863660	1760300864444	OK	 
REQUEST	35		Transfer	1760300863662	1760300864444	OK	 
USER	Carga de Transferencias sin Login	34	END	1760300863659	1760300864445
USER	Carga de Transferencias sin Login	35	END	1760300863659	1760300864445
REQUEST	36		Transfer	1760300863676	1760300864453	OK	 
USER	Carga de Transferencias sin Login	36	END	1760300863674	1760300864454
USER	Carga de Transferencias sin Login	153	START	1760300864457	1760300864457
USER	Carga de Transferencias sin Login	154	START	1760300864457	1760300864457
USER	Carga de Transferencias sin Login	155	START	1760300864457	1760300864457
REQUEST	44		Transfer	1760300863722	1760300864459	OK	 
USER	Carga de Transferencias sin Login	44	END	1760300863717	1760300864459
REQUEST	33		Transfer	1760300863647	1760300864468	OK	 
USER	Carga de Transferencias sin Login	33	END	1760300863646	1760300864469
USER	Carga de Transferencias sin Login	156	START	1760300864473	1760300864473
USER	Carga de Transferencias sin Login	158	START	1760300864476	1760300864476
USER	Carga de Transferencias sin Login	157	START	1760300864476	1760300864476
REQUEST	37		Transfer	1760300863677	1760300864479	OK	 
USER	Carga de Transferencias sin Login	37	END	1760300863676	1760300864479
REQUEST	38		Transfer	1760300863678	1760300864482	OK	 
USER	Carga de Transferencias sin Login	38	END	1760300863676	1760300864483
USER	Carga de Transferencias sin Login	159	START	1760300864489	1760300864489
REQUEST	31		Transfer	1760300863645	1760300864489	OK	 
USER	Carga de Transferencias sin Login	31	END	1760300863643	1760300864489
REQUEST	45		Transfer	1760300863735	1760300864490	OK	 
USER	Carga de Transferencias sin Login	45	END	1760300863733	1760300864490
REQUEST	47		Transfer	1760300863737	1760300864494	OK	 
USER	Carga de Transferencias sin Login	47	END	1760300863736	1760300864494
USER	Carga de Transferencias sin Login	160	START	1760300864505	1760300864505
REQUEST	41		Transfer	1760300863702	1760300864505	OK	 
USER	Carga de Transferencias sin Login	161	START	1760300864505	1760300864505
USER	Carga de Transferencias sin Login	41	END	1760300863701	1760300864505
REQUEST	46		Transfer	1760300863738	1760300864505	OK	 
USER	Carga de Transferencias sin Login	46	END	1760300863736	1760300864506
USER	Carga de Transferencias sin Login	162	START	1760300864506	1760300864506
REQUEST	42		Transfer	1760300863719	1760300864512	OK	 
USER	Carga de Transferencias sin Login	42	END	1760300863717	1760300864513
REQUEST	43		Transfer	1760300863721	1760300864517	OK	 
USER	Carga de Transferencias sin Login	43	END	1760300863717	1760300864517
USER	Carga de Transferencias sin Login	163	START	1760300864521	1760300864521
USER	Carga de Transferencias sin Login	164	START	1760300864521	1760300864521
REQUEST	39		Transfer	1760300863704	1760300864527	OK	 
USER	Carga de Transferencias sin Login	39	END	1760300863701	1760300864528
USER	Carga de Transferencias sin Login	167	START	1760300864537	1760300864537
USER	Carga de Transferencias sin Login	166	START	1760300864537	1760300864537
USER	Carga de Transferencias sin Login	165	START	1760300864537	1760300864537
REQUEST	54		Transfer	1760300863801	1760300864546	OK	 
USER	Carga de Transferencias sin Login	54	END	1760300863797	1760300864547
REQUEST	55		Transfer	1760300863800	1760300864549	OK	 
USER	Carga de Transferencias sin Login	55	END	1760300863797	1760300864549
REQUEST	53		Transfer	1760300863783	1760300864551	OK	 
USER	Carga de Transferencias sin Login	53	END	1760300863781	1760300864551
USER	Carga de Transferencias sin Login	168	START	1760300864552	1760300864552
USER	Carga de Transferencias sin Login	170	START	1760300864556	1760300864556
